created_date,status,segmento,comision_actual,logistic_type,store_type,barrio,category,cooking_time,tiene_otra_app,brand_id,store_id
2025-09-16T13:37:44.925Z,active,Microstores,42.0,3P,New brand,CENTRO,Helado,30 min,Sí,12455.0,106128
2025-09-16T13:31:38.794Z,active,Microstores,42.0,3P,New brand,SAN NICOLÁS,Venezolana,10 min,No,10579.0,105316
2025-09-16T12:25:06.773Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,Desayunos y meriendas,15 min,Sí,14042.0,112830
2025-09-16T12:17:15.771Z,active,Microstores,42.0,3P,New brand,LA PLATA,Sándwiches,10 min,No,14384.0,106983
2025-09-16T12:15:44.797Z,active,Microstores,42.0,3P,New brand,CABALLITO,Panadería,15 min,Sí,11896.0,114532
2025-09-16T10:52:06.026Z,active,Microstores,42.0,3P,New brand,CENTRO,Helado,25 min,Sí,11782.0,112020
2025-09-16T02:53:03.780Z,active,Microstores,42.0,3P,New brand,ALBERDI,Pizza,15 min,Sí,14792.0,111675
2025-09-16T02:39:53.897Z,active,Microstores,42.0,3P,New brand,SANTA RITA,Desayunos y meriendas,15 min,No,13172.0,111948
2025-09-16T02:17:23.778Z,active,Microstores,42.0,3P,New brand,NUEVA CORDOBA,Hamburguesa,25 min,No,14437.0,107265
2025-09-15T23:35:02.790Z,active,Microstores,42.0,3P,New brand,ESPAÑA Y HOSPITALES,Internacional,20 min,Sí,14358.0,102339
2025-09-15T22:53:05.786Z,active,Microstores,42.0,3P,New brand,VELEZ SARSFIELD,Sándwiches,5 min,No,12611.0,108169
2025-09-15T22:41:42.805Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,10 min,Sí,14698.0,114351
2025-09-15T22:20:54.882Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,10 min,Sí,11618.0,111263
2025-09-15T21:09:34.782Z,active,Microstores,42.0,3P,New brand,SAN NICOLÁS,Empanadas,5 min,No,11946.0,111591
2025-09-15T21:02:20.963Z,active,Microstores,42.0,3P,New brand,LA PLATA,Desayunos y meriendas,5 min,No,11702.0,106935
