YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2022,7,34409365,457565858,New,,LT,active,NUÑEZ,-58.4599257,-34.5449188,"-34.5449188, -58.4599257",CABA,2025-09-23,2025-09-23
2022,7,34525033,659527652,New,,LH,active,SAAVEDRA,-58.4745786,-34.5409724,"-34.5409724, -58.4745786",CABA,2025-09-23,2025-09-23
2022,7,34811189,672063319,New,,LT,active,BELGRANO,-58.4515151,-34.5558828,"-34.5558828, -58.4515151",CABA,2025-09-23,2025-09-23
2022,7,34847962,169557992,New,,LT,active,SAAVEDRA,-58.4905116,-34.5563128,"-34.5563128, -58.4905116",CABA,2025-09-23,2025-09-23
2022,7,35328980,280835654,New,,LH,active,NUÑEZ,-58.46452629999999,-34.5531168,"-34.5531168, -58.46452629999999",CABA,2025-09-23,2025-09-23
2022,7,36249848,426589495,New,,LT,active,PALERMO,-58.4325944,-34.5868846,"-34.5868846, -58.4325944",CABA,2025-09-23,2025-09-23
2022,7,38385716,443905579,New,,CA,active,NUÑEZ,-58.465759903041075,-34.54985914330068,"-34.54985914330068, -58.465759903041075",CABA,2025-09-23,2025-09-23
2022,7,38970340,333949364,New,,CA,active,VICENTE LOPEZ,-58.4678949,-34.5343797,"-34.5343797, -58.4678949",BUENOS AIRES,2025-09-23,2025-09-23
2022,7,40383877,784457926,New,,CA,active,NUÑEZ,-58.4662246,-34.5397825,"-34.5397825, -58.4662246",CABA,2025-09-23,2025-09-23
2022,7,42176413,688861458,New,,LT,active,NUÑEZ,-58.4642465,-34.5421032,"-34.5421032, -58.4642465",CABA,2025-09-23,2025-09-23
2022,7,42455935,836653553,New,,LT,active,BELGRANO,-58.4586479,-34.5635904,"-34.5635904, -58.4586479",CABA,2025-09-23,2025-09-23
2022,7,43308250,244303681,New,,CA,active,COGHLAN,-58.4717505,-34.5604217,"-34.5604217, -58.4717505",CABA,2025-09-23,2025-09-23
2022,7,43347543,822421519,New,,LH,active,BELGRANO,-58.4625497,-34.5599354,"-34.5599354, -58.4625497",CABA,2025-09-23,2025-09-23
2022,7,44050158,393712049,New,,LH,active,VILLA URQUIZA,-58.49075559999999,-34.5770006,"-34.5770006, -58.49075559999999",CABA,2025-09-23,2025-09-23
2022,7,44141970,1043692386,New,,LH,active,BELGRANO,-58.46623339999999,-34.5576091,"-34.5576091, -58.46623339999999",CABA,2025-09-23,2025-09-23
2022,7,45098632,1075576177,New,,CA,active,BELGRANO,-58.4590597,-34.5598005,"-34.5598005, -58.4590597",CABA,2025-09-23,2025-09-23
2022,7,46669208,1114135685,New,,LT,active,BELGRANO,-58.4555151,-34.5677223,"-34.5677223, -58.4555151",CABA,2025-09-23,2025-09-23
2022,7,46849455,739255035,New,,CA,active,BELGRANO,-58.4600931,-34.5657416,"-34.5657416, -58.4600931",CABA,2025-09-23,2025-09-23
2022,7,47080252,63397193,New,,LT,active,NUÑEZ,-58.46526670000001,-34.5567182,"-34.5567182, -58.46526670000001",CABA,2025-09-23,2025-09-23
2022,7,47254144,1132936495,New,,LH,,VILLA CRESPO,,,,CABA,2025-09-23,2025-09-23
2022,7,47426348,726847692,New,,LT,active,PALERMO,-58.4463045,-34.5687729,"-34.5687729, -58.4463045",CABA,2025-09-23,2025-09-23
2022,7,47774859,1150793454,New,,LT,active,BELGRANO,-58.46411479999999,-34.560918,"-34.560918, -58.46411479999999",CABA,2025-09-23,2025-09-23
2022,7,47806683,1151772404,New,,,active,NUÑEZ,-58.4576251,-34.5527125,"-34.5527125, -58.4576251",CABA,2025-09-23,2025-09-23
2022,7,47855466,1150450663,New,,CA,active,PALERMO,-58.43220580000001,-34.5809621,"-34.5809621, -58.43220580000001",CABA,2025-09-23,2025-09-23
2022,7,47956880,1139846647,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,7,47957667,1139911841,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
